"","District","room_id","host_id","room_type","reviews","overall_satisfaction","price","minstay","latitude","longitude","rate"
"151","Allston/Brighton",3897979,8139434,"Private room",21,5,83,1,42.351786,-71.136677,10.6537594837127
"152","Allston/Brighton",14402688,88543034,"Private room",9,4.7,55,1,42.34549,-71.140814,10.6537594837127
"153","Allston/Brighton",8799065,45928495,"Private room",4,4.5,65,1,42.346361,-71.136306,10.6537594837127
"154","Allston/Brighton",9250014,26956083,"Private room",8,4.8,79,2,42.360724,-71.141473,10.6537594837127
"155","Allston/Brighton",13521755,62149054,"Shared room",4,5,45,1,42.346458,-71.157268,10.6537594837127
"156","Allston/Brighton",10226171,18290025,"Entire home/apt",7,5,115,1,42.34136,-71.146344,10.6537594837127
"157","Allston/Brighton",12752442,51321009,"Entire home/apt",26,4.6,128,1,42.35246625,-71.128365,10.6537594837127
"158","Allston/Brighton",6646604,31340713,"Entire home/apt",21,4.5,125,2,42.341089,-71.146339,10.6537594837127
"159","Allston/Brighton",7776521,18714762,"Private room",6,4.5,90,1,42.350829,-71.127348,10.6537594837127
"160","Allston/Brighton",1961396,9077069,"Entire home/apt",40,4.5,100,1,42.354003,-71.131161,10.6537594837127
"161","Allston/Brighton",6661480,25093280,"Private room",20,4.5,65,1,42.354054,-71.128911,10.6537594837127
"162","Allston/Brighton",12253499,65973859,"Entire home/apt",9,4.6,95,1,42.349814,-71.132085,10.6537594837127
"163","Allston/Brighton",7310887,38302832,"Entire home/apt",57,5,268,3,42.345539,-71.13819,10.6537594837127
"164","Allston/Brighton",15167383,39949707,"Private room",12,5,49,1,42.356343,-71.149548,10.6537594837127
"165","Allston/Brighton",15173372,64358573,"Private room",13,4.8,40,1,42.353953,-71.156259,10.6537594837127
"166","Allston/Brighton",9280483,18997035,"Private room",1,5,55,1,42.344315,-71.14373,10.6537594837127
"167","Allston/Brighton",2014882,1521296,"Private room",98,4.5,70,2,42.341261,-71.157173,10.6537594837127
"168","Allston/Brighton",8829878,46222857,"Private room",1,3,80,1,42.358072,-71.130931,10.6537594837127
"169","Allston/Brighton",13685207,12243051,"Entire home/apt",3,4.7,182,3,42.349722,-71.131119,10.6537594837127
"170","Allston/Brighton",13685592,12243051,"Entire home/apt",3,4.5,244,3,42.349277,-71.130741,10.6537594837127
"171","Allston/Brighton",13584884,78433797,"Private room",8,5,58,1,42.35941,-71.143191,10.6537594837127
"172","Allston/Brighton",5295491,27425562,"Entire home/apt",23,4.5,145,1,42.347956,-71.155196,10.6537594837127
"173","Allston/Brighton",5295491,27425562,"Private room",26,4.5,145,1,42.348126,-71.155518,10.6537594837127
"174","Allston/Brighton",13590412,78508229,"Entire home/apt",10,4.9,95,1,42.349342,-71.129081,10.6537594837127
"175","Allston/Brighton",6702969,2527889,"Entire home/apt",1,5,270,2,42.351261,-71.161411,10.6537594837127
"176","Allston/Brighton",491332,2357193,"Entire home/apt",38,5,150,2,42.339397,-71.14626,10.6537594837127
"177","Allston/Brighton",8867379,45865686,"Shared room",11,4.8,36,1,42.341048,-71.153538,10.6537594837127
"178","Allston/Brighton",15223026,68137928,"Entire home/apt",3,4.5,186,1,42.341734,-71.159673,10.6537594837127
"179","Allston/Brighton",504515,1730791,"Private room",32,5,46,1,42.353852,-71.131831,10.6537594837127
"180","Allston/Brighton",3992149,16566651,"Private room",6,4,73,1,42.3502,-71.131414,10.6537594837127
"181","Allston/Brighton",2114274,2152299,"Private room",20,4.9,95,7,42.351361,-71.126152,10.6537594837127
"182","Allston/Brighton",5370684,23002667,"Private room",6,5,90,1,42.340968,-71.148027,10.6537594837127
"183","Allston/Brighton",6728273,26754605,"Entire home/apt",16,4.5,141,2,42.3585,-71.128226,10.6537594837127
"184","Allston/Brighton",2166134,1851428,"Entire home/apt",12,5,200,2,42.338876,-71.146052,10.6537594837127
"185","Allston/Brighton",10333345,15575274,"Private room",12,4.8,72,1,42.345985,-71.136397,10.6537594837127
"186","Allston/Brighton",14916248,51321009,"Entire home/apt",16,4.5,124,1,42.350705,-71.12606,10.6537594837127
"187","Allston/Brighton",13624929,18396057,"Private room",4,5,227,1,42.344243,-71.155453,10.6537594837127
"188","Allston/Brighton",14057189,84349533,"Private room",14,5,100,1,42.344361,-71.167077,10.6537594837127
"189","Allston/Brighton",2183117,11132354,"Entire home/apt",15,4.6,94,3,42.351589,-71.133466,10.6537594837127
"190","Allston/Brighton",13642260,61145575,"Entire home/apt",5,4,95,2,42.339931,-71.15837075,10.6537594837127
"191","Allston/Brighton",6743465,32877382,"Private room",3,5,58,2,42.349525,-71.1340645,10.6537594837127
"192","Allston/Brighton",13642405,56649366,"Shared room",8,3.7,30,1,42.3447973333333,-71.1411723333333,10.6537594837127
"193","Allston/Brighton",8934599,26956083,"Entire home/apt",7,5,286,3,42.359296,-71.140197,10.6537594837127
"194","Allston/Brighton",10367015,26839308,"Entire home/apt",6,5,109,2,42.347626,-71.134542,10.6537594837127
"195","Allston/Brighton",10387129,15537747,"Entire home/apt",4,5,140,2,42.351851,-71.123802,10.6537594837127
"196","Allston/Brighton",583255,306407,"Entire home/apt",8,5,184,2,42.341713,-71.148512,10.6537594837127
"197","Allston/Brighton",8956082,10795653,"Private room",3,5,64,1,42.3482842857143,-71.137124,10.6537594837127
"198","Allston/Brighton",8962914,46842652,"Private room",4,4.5,57,4,42.343656,-71.146892,10.6537594837127
"199","Allston/Brighton",5940928,30841304,"Shared room",10,4,50,1,42.348306,-71.137852,10.6537594837127
"200","Allston/Brighton",12934233,53847825,"Private room",10,4.8,70,1,42.348609,-71.134272,10.6537594837127
"201","Allston/Brighton",4456987,23127374,"Private room",13,4.9,94,1,42.348512,-71.167968,10.6537594837127
"202","Allston/Brighton",2526773,12165186,"Entire home/apt",6,4.5,52,27,42.343798,-71.156305,10.6537594837127
"203","Allston/Brighton",10967183,5166221,"Entire home/apt",6,4.5,100,2,42.363126,-71.130647,10.6537594837127
"204","Allston/Brighton",9415179,45369382,"Private room",9,4.4,60,1,42.35165325,-71.12509975,10.6537594837127
"205","Allston/Brighton",11270877,14950464,"Entire home/apt",4,4.8,105,1,42.347945,-71.13641,10.6537594837127
"206","Allston/Brighton",12409042,26956083,"Private room",9,5,92,2,42.359421,-71.127332,10.6537594837127
"207","Allston/Brighton",2294730,11722258,"Private room",6,4.5,90,2,42.360562,-71.139014,10.6537594837127
"208","Allston/Brighton",13684464,12243051,"Entire home/apt",4,5,239,3,42.349895,-71.129922,10.6537594837127
"209","Allston/Brighton",5724845,29682074,"Entire home/apt",19,4.5,100,2,42.344668,-71.142176,10.6537594837127
"210","Allston/Brighton",5856189,9230009,"Entire home/apt",18,4.9,170,1,42.344895,-71.166775,10.6537594837127
"211","Allston/Brighton",9445192,48948403,"Private room",2,4.5,60,1,42.347988,-71.139391,10.6537594837127
"212","Allston/Brighton",13694722,79108683,"Private room",3,5,52,1,42.353507,-71.131162,10.6537594837127
"213","Allston/Brighton",11921486,63617461,"Private room",4,4.5,90,1,42.349577,-71.160871,10.6537594837127
"214","Allston/Brighton",6823017,19548932,"Private room",26,4.8,62,1,42.3590286,-71.1306542,10.6537594837127
"215","Allston/Brighton",14970501,19863033,"Entire home/apt",4,3.8,337,2,42.347,-71.137982,10.6537594837127
"216","Allston/Brighton",7921649,26956083,"Private room",12,4.5,76,2,42.359642,-71.140569,10.6537594837127
"217","Allston/Brighton",4106300,757253,"Private room",2,4,130,2,42.354224,-71.127612,10.6537594837127
"218","Allston/Brighton",14153636,26956083,"Private room",11,4.8,79,1,42.360933,-71.125488,10.6537594837127
"219","Allston/Brighton",15320975,97623393,"Entire home/apt",7,5,85,1,42.354861,-71.160867,10.6537594837127
"220","Allston/Brighton",5593939,11159801,"Entire home/apt",53,5,94,1,42.34923,-71.1299,10.6537594837127
"221","Allston/Brighton",9463606,45369382,"Private room",20,4.5,62,1,42.351015,-71.125857,10.6537594837127
"222","Allston/Brighton",5606682,29066313,"Entire home/apt",30,4.5,193,2,42.3415456,-71.1493306,10.6537594837127
"223","Allston/Brighton",1185034,6481306,"Private room",14,4.5,87,1,42.33719,-71.151437,10.6537594837127
"224","Allston/Brighton",9473811,18604433,"Entire home/apt",2,4.7,200,2,42.354171,-71.127539,10.6537594837127
"225","Allston/Brighton",14200252,86147426,"Private room",5,5,89,1,42.353959,-71.126357,10.6537594837127
"226","Allston/Brighton",14994687,43202277,"Entire home/apt",3,4,280,2,42.35394,-71.159804,10.6537594837127
"227","Allston/Brighton",2404610,9077069,"Entire home/apt",28,4.5,100,1,42.353296,-71.130888,10.6537594837127
"228","Allston/Brighton",9062826,46792959,"Entire home/apt",1,5,160,1,42.3371,-71.152412,10.6537594837127
"229","Allston/Brighton",8328203,5610150,"Private room",2,5,55,3,42.345481,-71.164617,10.6537594837127
"230","Allston/Brighton",9078482,911968,"Private room",2,5,45,2,42.350922,-71.127682,10.6537594837127
"231","Allston/Brighton",7277653,30172860,"Private room",43,5,68,1,42.363177,-71.133641,10.6537594837127
"232","Allston/Brighton",13733887,80361500,"Entire home/apt",15,5,279,1,42.355852,-71.128216,10.6537594837127
"233","Allston/Brighton",14220964,26956083,"Private room",4,5,70,1,42.361725,-71.127162,10.6537594837127
"234","Allston/Brighton",5661246,12211716,"Entire home/apt",30,4.5,112,1,42.349672,-71.131144,10.6537594837127
"235","Allston/Brighton",9109401,47477850,"Entire home/apt",13,5,314,2,42.3527930909091,-71.1394198181818,10.6537594837127
"236","Allston/Brighton",12047007,62149054,"Shared room",3,4.5,75,1,42.347535,-71.156267,10.6537594837127
"237","Allston/Brighton",15039741,63218173,"Private room",12,4.2,62,1,42.360161,-71.135696,10.6537594837127
"238","Allston/Brighton",15373278,98207040,"Entire home/apt",3,5,200,2,42.349618,-71.171651,10.6537594837127
"239","Allston/Brighton",4203335,21806549,"Private room",17,4.5,80,2,42.340582,-71.153251,10.6537594837127
